country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Sweden,Europe,1037126,14275.0,897245,125606,306.0,102136,1406.0,9481745.0,933760.0,10154374
Switzerland,Europe,682160,10744.0,621695,49721,183.0,78319,1234.0,7338506.0,842539.0,8709992
Syria,Asia,23788,1705.0,21073,1010,,1331,95.0,103566.0,5795.0,17870439
Taiwan,Asia,2260,14.0,1127,1119,,95,,610865.0,25608.0,23854548
Tajikistan,Asia,13308,90.0,13218,0,,1369,9.0,,,9724098
Tanzania,Africa,509,21.0,183,305,7.0,8,,,,61211895
Thailand,Asia,113555,649.0,69918,42988,1228.0,1623,9.0,8124896.0,116147.0,69953419
Timor Leste,Asia,4589,10.0,2406,2173,,3424,7.0,85223.0,63584.0,1340328
Togo,Africa,13279,125.0,11901,1253,,1572,15.0,323813.0,38332.0,8447543
Trinidad And Tobago,North America,16549,294.0,10370,5885,15.0,11792,209.0,153997.0,109727.0,1403457
Tunisia,Africa,327473,11899.0,288935,26639,445.0,27457,998.0,1392064.0,116718.0,11926699
Turkey,Asia,5127548,44983.0,4961120,121445,2326.0,60230,528.0,51076732.0,599970.0,85132141
Turks And Caicos Islands,North America,2404,17.0,2365,22,2.0,61367,434.0,65926.0,1682902.0,39174
Uganda,Africa,42859,347.0,42429,83,24.0,912,7.0,1062412.0,22607.0,46994167
UK,Europe,4452756,127684.0,4279267,45805,124.0,65291,1872.0,170156171.0,2495025.0,68198176
Ukraine,Europe,2160095,48469.0,1882344,229282,177.0,49654,1114.0,9851754.0,226461.0,43503055
United Arab Emirates,Asia,547411,1633.0,527519,18259,,54770,163.0,47061854.0,4708641.0,9994784
Uruguay,South America,242906,3521.0,212051,27334,495.0,69715,1011.0,2016365.0,578704.0,3484274
USA,North America,33747439,600533.0,27202309,5944597,7790.0,101435,1805.0,467222796.0,1404331.0,332701437
Uzbekistan,Asia,97068,672.0,92582,3814,23.0,2864,20.0,1377915.0,40655.0,33892564
Vanuatu,Australia/Oceania,4,1.0,3,0,,13,3.0,23000.0,73391.0,313390
Venezuela,South America,216415,2411.0,200381,13623,316.0,7630,85.0,3359014.0,118420.0,28365252
Viet Nam,Asia,4359,37.0,2668,1654,,44,,3091540.0,31513.0,98104367
Wallis And Futuna Islands,Australia/Oceania,445,7.0,436,2,1.0,40213,633.0,17264.0,1560094.0,11066
Western Sahara,Africa,10,1.0,8,1,,16,2.0,,,610112
Yemen,Asia,6568,1294.0,3042,2232,23.0,216,43.0,38810.0,1277.0,30397797
Zambia,Africa,92460,1261.0,90862,337,40.0,4910,67.0,1474620.0,78307.0,18831181
Zimbabwe,Africa,38572,1582.0,36349,641,12.0,2563,105.0,447791.0,29750.0,15051761
